var_i,var_j,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
FVC,PRE,0.3620389429791393,0.2887013634338319,0.2794097297810632,0.2770995187398599,0.2833337202125048,0.3384748138487251,0.2968470380055871,0.2253707212248939,0.2911113977174999,0.3866410404432798,0.2982956663761769,0.3653658261865157,0.2998605357256674,0.3916482905727382,0.3300192472221006,0.2859931738731255,0.2784747372463689,0.2851069866932338,0.3071098199082271,0.3020514599273266,0.3756023782905202,0.3835125528436216,0.2961609203386786,0.3487043855659918
FVC,SM,0.3090290785160985,0.2905832070230295,0.2681282796590913,0.2586739204965834,0.2844656759955131,0.3082404574933017,0.2976787083293458,0.2777184131378599,0.2746165923476885,0.3153861634007306,0.3092492838101044,0.3097121833891819,0.3019515448509274,0.3415056114889317,0.3418697050560144,0.3225488837815369,0.306452848774752,0.3097106409903257,0.2872665034687512,0.3097668466499121,0.3125387525919375,0.3444531055224731,0.326110238028395,0.3096291390695569
FVC,SPEI6,,,,0.204883987146308,,,,,0.1902774743612463,,,,,0.2904896690293569,,,,,,,,,,
FVC,T,0.2345769620032892,0.2159022640761382,0.22578375191213,0.2037336446616298,0.1953484934033526,0.2181689452211145,0.2223829962587574,0.2026937619166601,0.2106057532307954,0.2449402995439399,0.2334684772028068,0.2219753976935194,0.2140027413436935,0.2337122668495527,0.2289593710743946,0.2274997551791712,0.202759758812776,0.2144279635817347,0.2016855249065404,0.1959910842335401,0.2079382106728825,0.2196281226141797,0.206436904825776,0.2074612247373233
FVC,WECS,0.25700492711607,0.2526763058490311,0.2646786433376183,0.2216113550265726,0.2329761202569128,0.276267031487809,0.264157256958303,0.2424953288249797,0.2430163540227954,0.2680777940905707,0.2238811593205714,0.2781943414226655,0.2261994464881844,0.2508665239744333,0.2427133621190863,0.2504578849674075,0.2415031028461405,0.2316568491627621,0.2322360786226075,0.2584386404117234,0.2487500376159293,0.2474796888432666,0.2321358525992824,0.2391218163053619
FVC,WS2,,0.174324398904531,0.1803600916566017,,0.1761304354671038,,,0.1779775471433643,,,0.2154427461279722,,,,,0.1805784090607193,0.1744819616696128,,,,,,,
GD,NIRv,0.2089726482761513,,,,,,,,,,,,,,,,,,,,,,,
GD,PET,0.22418433719551,,,,,,,,,,,,,,,,,,,,,,,
GD,POP,0.7932093017320541,0.7647285323439394,0.7784436606740482,0.8547975610053193,0.8904849063185342,0.7796770818158709,0.8187281368364788,0.8212714907449292,0.8203089359024643,0.8172423127227647,0.8226955179597379,0.8312274748556886,0.8093881794090708,0.8309811911249527,0.762810291682436,0.7648396764389619,0.7654256046948796,0.7916499325903319,0.797055136269956,0.7941178898734759,0.7934657212441605,0.8833749831583174,0.875100239893969,0.9392365017290056
GD,PRE,0.2111663489462219,,,,,,,,,,,,,,,,,,,,,,,
GD,T,0.2122529782544401,,,,,,,,,,,,,,,,,,,,,,,
GP,GS,,,,,,0.2025844118833599,0.200711353771757,0.2085470322836483,0.2025664812282002,0.2222285142593439,0.2199697801460026,0.2139643497911798,0.2139567313603507,,0.2101178157178962,0.2185892264781798,0.2254896603130055,0.2243359702522768,0.2129326990585852,0.215507700739859,0.2143109911147025,0.2140222581591049,0.2121725679695362,0.2125273592320709
GP,NDMI,,,,,,,,,,,,,0.1788837189340049,,,,,0.1916028886928881,0.1949078446284043,0.1925193931909533,0.1924658429472365,,0.1760261526573754,0.1870393954081705
GP,NIRv,,0.1695015076244463,0.186141774001579,,0.1740730338021856,,,0.213437661080756,,,0.1995784327000638,,,,,0.178252927936212,0.2015568575493913,0.2008623257724614,0.1834832836505595,0.1860140189375917,,,0.1736513952507866,
