var_i,var_j,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AET,T,0.2390880678827468,0.2315420755647344,0.1715672624339577,0.1848669475831134,0.1841834639653365,0.2929070054372544,0.2125028231371664,0.175223980137791,0.1845708542002444,0.2451424190225722,0.243374342406374,0.2275404299919986,0.1477076974095695,0.2315852166803462,0.2050482430749436,0.161596253623692,0.1791187919805803,0.2347977452901837,0.1950490796928099,0.196296648857269,0.1863714730165327,0.2021437677148226,0.2172819273562264,0.2337590669989875
AET,WEPS,,,,,,,,0.1189935773900633,,,,,,,,,,,,,,,,
AI,FS,0.2785399477340971,0.2629031074720822,0.2941490865144645,0.1650820210749161,0.237464901931252,0.2023061451508977,0.2739121283594963,0.2011641723251523,0.2884542504220899,0.2884350859827607,0.222473658607413,0.2191278257891603,0.2311931375258823,0.2710013656090686,0.2265200075408018,0.1920537780478887,0.2154662877292789,0.2615206387954185,0.2694183863634494,0.2035851097990792,0.252563430143241,0.2378308417757294,0.3031328025734053,0.2478619947925917
AI,FVC,0.2924854489498539,0.2903967303896481,0.3314363177778813,0.2310323520052857,0.2968705328942861,0.2586425841788602,0.3085740652723318,0.2190342002775862,0.2967474145920335,0.3276230703152547,0.2928400447067046,0.261215584302826,0.270048329332125,0.3422450476411593,0.2922681228559695,0.2470500760674197,0.276012588584143,0.2781054917422697,0.2663252272298372,0.2560869441050249,0.3139785415017929,0.317119940364302,0.3398083264317333,0.2754110708634474
AI,GP,0.175458627975797,0.1657534943087446,0.1338810253857335,0.139626367037197,0.1477849615845483,,0.1704002651547296,0.1233918118613105,0.1666893407417182,0.1580114361382143,0.1433573993996849,0.140472485295494,0.1423130770445555,,0.1404200838384171,0.1383041850856419,,0.1637435267896452,0.1628411127557877,0.1256164911913197,0.1306678991404468,,0.1628305196449324,
AI,NDMI,0.169453389722174,0.163463528448269,0.1394844017756191,0.1796672849212674,0.1601868654989997,0.1724680004965056,0.1896329286222843,0.1206286410527806,0.1758089143999868,0.1843871085194315,0.1862213400263085,0.1922287433972805,0.1872281082689862,0.2172105648309254,0.2049008092655559,0.1643128038249817,0.1787663142368903,0.1506616268245748,0.1789054978324601,0.2089046102457487,0.2073427563319105,0.2324306323048858,0.1952551769187476,0.217837518388277
AI,NIRv,0.2436491230807264,0.2302216315526637,0.2644088165617191,0.1786513277405534,0.2424463802211421,0.2008932929324348,0.2589907367207892,0.1834795180952546,0.2531007456427774,0.2632427463205178,0.2185289108925796,0.2251929158285518,0.2332173925517065,0.2808532946315574,0.2416027341139132,0.2098078930811997,0.2212884650588575,0.2386277276762517,0.2542904229020621,0.2083968519099362,0.2651406644214059,0.2518534729546028,0.2929820285123813,0.2385660759182058
AI,PET,0.319332170099048,0.369804739553465,0.2597312225784856,0.3667843874432035,0.3069494040701748,0.4473874196586694,0.3537334044505826,0.3388644038243529,0.2850958342199619,0.3136807588156307,0.3519440795570336,0.3308101656743745,0.2523005098438364,0.3630059734837691,0.3218916108871485,0.3034852707493128,0.3520768404055213,0.3131134028566198,0.3352163125118967,0.3166115563316984,0.2834311523620898,0.3483659034621494,0.3075238746849876,0.3471147472069134
AI,PRE,0.5226849066585024,0.5309347251650056,0.4594510004547251,0.4337930720460335,0.4717344357689914,0.5757899876626662,0.5032352797757794,0.4670511862966085,0.4599542938393369,0.5315122330148985,0.5153633451004609,0.4776726824414911,0.4107283860616251,0.5258713063245664,0.4664071445192047,0.4345892125109765,0.4622503747344181,0.491302161913062,0.4400743624617018,0.4916451115862746,0.5373780586504564,0.509927538205489,0.5614997542695086,0.5026698684333974
AI,SM,0.314392832930652,0.3253297474940141,0.283753707418024,0.2748537765887716,0.2978311302417167,0.2776842037550056,0.3285363082298415,0.2583327206496194,0.3296664439320871,0.3355518285020453,0.3133311500021546,0.2938278414212154,0.2777102021515559,0.3154977077436686,0.30872723006898,0.2841492755460015,0.3141486390570318,0.2960936413586252,0.3168772570842703,0.301771725976058,0.3387604007903926,0.3283072054622524,0.3319206313212111,0.3427268949186708
AI,SPEI6,,,,,0.1650306786920725,,0.2294663312039445,,0.1377867864109306,,0.1857892952676211,,,0.3011529424476397,,,0.1493263036193578,0.212946055429984,0.1540872826647463,,,0.2554540490706586,0.1561440434647923,0.2139100400234893
